sampleID	total reads QC passed	mapped reads QC passed	percent reads mapped	paired in sequencing reads QC passed	properly paired QC passed	percent properly paired	with itself and mate mapped QC passed	singletons QC passed	percent singletons 	with mate mapped to a different chr QC passed	with mate mapped to a different chr (mapQ>=5) QC passed
RAD-CCGOM_wG12_KEY061_SWFL_sortfltr_flagstat.txt	1065068	1044859	98.10	1054540	986832	93.58	1024576	9755	0.93	34264	22380
RAD-CCGOM_wH01_PRCS487C+C_DRTO_sortfltr_flagstat.txt	4868099	4751812	97.61	4823143	4473545	92.75	4641709	65147	1.35	152060	96809
RAD-CCGOM_wH02_MCK107_CWFL_sortfltr_flagstat.txt	5134823	5008539	97.54	5085255	4705148	92.53	4893763	65208	1.28	171282	111173
RAD-CCGOM_wH03_KKF327R_NGM_sortfltr_flagstat.txt	10334672	10001978	96.78	10231637	9384972	91.73	9756977	141966	1.39	337388	217555
RAD-CCGOM_wH04_MCK113_CWFL_sortfltr_flagstat.txt	4663222	4537656	97.31	4602807	4220928	91.70	4418193	59048	1.28	180120	121650
RAD-CCGOM_wH05_KEY071_SWFL_sortfltr_flagstat.txt	5827564	5699983	97.81	5766149	5341523	92.64	5568307	70261	1.22	206152	138014
RAD-CCGOM_wH06_KEY056_SWFL_sortfltr_flagstat.txt	3943320	3838877	97.35	3902597	3609547	92.49	3757513	40641	1.04	134662	90595
RAD-CCGOM_wH07_KEY418_SWFL_sortfltr_flagstat.txt	8418315	8192903	97.32	8343847	7731829	92.67	8017825	100610	1.21	259700	167718
RAD-CCGOM_wH08_KEY069_SWFL_sortfltr_flagstat.txt	11705183	11403117	97.42	11581515	10654497	92.00	11104827	174622	1.51	410148	268331
RAD-CCGOM_wH09_MCK123_CWFL_sortfltr_flagstat.txt	1558535	1521135	97.60	1543827	1436299	93.03	1492395	14032	0.91	51138	33926
RAD-CCGOM_wH10_PRCS635C+C_DRTO_sortfltr_flagstat.txt	5157684	5049664	97.91	5065747	4561624	90.05	4897469	60258	1.19	310680	234621
RAD-CCGOM_wH11_PRCS531_DRTO_sortfltr_flagstat.txt	2347215	2306594	98.27	2313232	2125067	91.87	2251926	20685	0.89	117722	89045
RAD-CCGOM_wH12_KEY431_SWFL_sortfltr_flagstat.txt	984469	967943	98.32	975617	916155	93.91	951537	7554	0.77	32334	21953
